Tree,Elevation,Length,seg_num,branch_num
1,581,4,5,1
1,581,52,4,1
1,581,55,3,1
1,581,28,2,1
1,581,32,1,1
1,581,18,5,2
1,581,24,4,2
1,581,40,3,2
1,581,39,2,2
1,581,71,1,2
1,581,35,5,3
1,581,47,4,3
1,581,46,3,3
1,581,43,2,3
1,581,36,1,3
1,581,42,5,4
1,581,28,4,4
1,581,20,3,4
1,581,19,2,4
1,581,18,1,4
1,581,,5,5
1,581,31,4,5
1,581,27,3,5
1,581,32,2,5
1,581,43,1,5
1,581,65,5,6
1,581,48,4,6
1,581,35,3,6
1,581,24,2,6
1,581,42,1,6
1,581,56,5,7
1,581,34,4,7
1,581,42,3,7
1,581,30,2,7
1,581,19,1,7
1,581,33,5,8
1,581,30,4,8
1,581,11,3,8
1,581,54,2,8
1,581,44,1,8
1,581,50,5,9
1,581,46,4,9
1,581,29,3,9
1,581,25,2,9
1,581,11,1,9
1,581,42,5,10
1,581,57,4,10
1,581,69,3,10
1,581,59,2,10
1,581,18,1,10
4,575,16,5,1
4,575,20,4,1
4,575,19,3,1
4,575,18,2,1
4,575,20,1,1
4,575,21,5,2
4,575,19,4,2
4,575,22,3,2
4,575,19,2,2
4,575,15,1,2
4,575,21,5,3
4,575,23,4,3
4,575,5,3,3
4,575,13,2,3
4,575,21,1,3
4,575,2,5,4
4,575,20,4,4
4,575,4,3,4
4,575,17,2,4
4,575,21,1,4
4,575,11,5,5
4,575,13,4,5
4,575,15,3,5
4,575,14,2,5
4,575,13,1,5
4,575,15,5,6
4,575,14,4,6
4,575,13,3,6
4,575,17,2,6
4,575,15,1,6
4,575,10,5,7
4,575,13,4,7
4,575,12,3,7
4,575,13,2,7
4,575,10,1,7
4,575,8,5,8
4,575,17,4,8
4,575,16,3,8
4,575,11,2,8
4,575,16,1,8
4,575,11,5,9
4,575,17,4,9
4,575,15,3,9
4,575,19,2,9
4,575,5,1,9
4,575,14,5,10
4,575,14,4,10
4,575,16,3,10
4,575,15,2,10
4,575,17,1,10
2,578,33,5,1
2,578,20,4,1
2,578,25,3,1
2,578,4,2,1
2,578,12,1,1
2,578,12,5,2
2,578,46,4,2
2,578,15,3,2
2,578,18,2,2
2,578,18,1,2
2,578,24,5,3
2,578,23,4,3
2,578,28,3,3
2,578,28,2,3
2,578,10,1,3
2,578,25,5,4
2,578,26,4,4
2,578,13,3,4
2,578,18,2,4
2,578,14,1,4
2,578,15,5,5
