Plant,Elevation,Intra_Dis,Height,Circumference,Number_Branches,Inter_Dis,Inter_ID,Inter_Plant_Group,Arroyo_ID,Arroyo_Dis,Terminal_SegIQR,1m_ID1,1m_CID_type1,1m_Num1,1m_ID2,1m_CID_type2,1m_Num2,1m_ID3,1m_CID_type3,1m_Num3,1m_ID4,1m_CID_type4,1m_Num4,1m_NumShrub,1m_NumCacti,1m_shrub2cactus,1m_sum
1,581,3.1,5,4.7,20,0.8,Creosote,shrub,87363,323.9308711,19,Creosote,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1
2,578,3.75,3.15,4.3,19,1.15,JumpingCholla,cactus,87363,306.8720672,8.75,JumpingCholla,shrub,1,Brittlebush,shrub,5,NA,NA,0,NA,NA,0,6,0,1,6
3,576,3.2,2.75,4.78,24,0.55,Limberbush,shrub,87363,317.4109189,9.25,Limberbush,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1
4,575,2.35,2.05,5.53,16,0.59,TriangleLeafBursage,shrub,87363,297.8811979,5.75,CanyonRagweed,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1
5,573,4.25,2.65,5.08,21,2.2,Creosote,shrub,87363,291.6484248,8.75,PencilCholla,cactus,1,NA,NA,0,NA,NA,0,NA,NA,0,0,1,0,1
6,570,1.91,2.95,4,12,1,Limberbush,shrub,87363,279.2878792,7,Ironwood,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1
7,567,7.45,3.35,4.6,18,4.33,PaloVerde,shrub,87363,261.8325224,6,Creosote,shrub,2,TriangleLeafBursage,shrub,2,NA,NA,0,NA,NA,0,4,0,1,4
8,563,5.53,2.75,4.52,18,2.1,Limberbush,shrub,87363,262.5564326,4.75,Brittlebush,shrub,2,NA,NA,0,NA,NA,0,NA,NA,0,2,0,1,2
9,559,5.9,2.65,4.9,20,1.2,Limberbush,shrub,87363,255.5039512,6,Brittlebush,shrub,1,TriangleLeafBursage,shrub,1,NA,NA,0,NA,NA,0,2,0,1,2
10,557,8.9,2.5,8.53,26,0.33,Limberbush,shrub,87363,236.6883698,5.75,TriangleLeafBursage,shrub,4,Creosote,shrub,1,Limberbush,shrub,1,Brittlebush,shrub,1,7,0,1,7
11,552,4.3,2.7,4.8,19,3.65,Limberbush,shrub,87363,220.5665313,5,Limberbush,shrub,1,TriangleLeafBursage,shrub,4,FishhookMammillaria,cactus,1,NA,NA,0,5,1,0.83,6
12,549,10.43,2.3,5.56,24,1.1,Limberbush,shrub,87363,210.1687683,6.5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0
13,547,7.3,3.05,3.2,23,2.6,PaloVerde,shrub,87363,205.4973317,2.75,TriangleLeafBursage,shrub,2,FishhookMammillaria,cactus,4,NA,NA,0,NA,NA,0,2,4,0.33,6
14,542,1.83,3,2.7,11,0.65,TriangleLeafBursage,shrub,87363,180.4554579,8.75,CanyonRagweed,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1
15,540,9.48,2.6,7.2,55,2.13,OrganPipe,cactus,87363,167.8587975,9,FishhookMammillaria,cactus,1,TriangleLeafBursage,shrub,5,NA,NA,0,NA,NA,0,5,1,0.83,6
16,538,2.7,2.05,6.9,34,2.41,Limberbush,shrub,87363,144.1637453,6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0
17,537,8,2.47,5.41,25,3.75,OrganPipe,cactus,87363,153.9654348,7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0
18,536,6.88,3.5,5.5,25,2.75,OrganPipe,cactus,87363,146.3757592,9.5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0
19,533,14.7,3.25,7.1,31,2.6,PencilCholla,cactus,87363,139.8893187,8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0
20,532,9.8,2.2,3.15,23,2.2,Saguaro,cactus,87363,127.5864995,5.75,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0
21,504,17.1,3.97,4.7,14,1.31,Creosote,shrub,87363,263.016778,7.25,TriangleLeafBursage,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1
22,501,8.51,3.47,2.8,21,4.97,JumpingCholla,cactus,87363,169.4965041,7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0
23,503,6.1,2.87,5.35,15,0.83,Saguaro,cactus,87363,163.5254854,5.75,TriangleLeafBursage,shrub,3,Saguaro,cactus,1,NA,NA,0,NA,NA,0,3,1,0.75,4
24,503,29.52,4.21,6.29,27,0.25,Creosote,shrub,87363,110.3347389,9.5,Creosote,shrub,2,NA,NA,0,NA,NA,0,NA,NA,0,2,0,1,2
25,504,7.7,3.8,6.3,32,4.55,Saguaro,cactus,87363,154.4858098,10.75,TriangleLeafBursage,shrub,3,Creosote,shrub,2,NA,NA,0,NA,NA,0,3,2,0.6,5
26,506,2.3,4.95,4.46,34,2.45,Saguaro,cactus,87363,29.00912532,6,Creosote,shrub,2,TriangleLeafBursage,shrub,2,NA,NA,0,NA,NA,0,2,2,0.5,4
27,505,15.85,4.53,4.5,36,5.25,Saguaro,cactus,87363,9.269526607,7,TriangleLeafBursage,shrub,3,NA,NA,0,NA,NA,0,NA,NA,0,3,0,1,3
