Tree,Elevation,Neartest Neighbor,COMP_dis,COMP_id,Competitor Type,Site,Arroyo_Dis,1m_NumShrub,1m_NumCacti,1m_total
1,581,3.1,0.8,Creosote,Shrub,Bajada,323.9308711,1,0,1
2,578,3.75,1.15,JumpingCholla,Cactus,Bajada,306.8720672,6,0,6
3,576,3.2,0.55,Limberbush,Shrub,Bajada,317.4109189,1,0,1
4,575,2.35,0.59,TriangleLeafBursage,Shrub,Bajada,297.8811979,1,0,1
5,573,4.25,2.2,Creosote,Shrub,Bajada,291.6484248,0,1,1
6,570,1.91,1,Limberbush,Shrub,Bajada,279.2878792,1,0,1
7,567,7.45,4.33,PaloVerde,Shrub,Bajada,261.8325224,4,0,4
8,563,5.53,2.1,Limberbush,Shrub,Bajada,262.5564326,2,0,2
9,559,5.9,1.2,Limberbush,Shrub,Bajada,255.5039512,2,0,2
10,557,8.9,0.33,Limberbush,Shrub,Bajada,236.6883698,7,0,7
11,552,4.3,3.65,Limberbush,Shrub,Bajada,220.5665313,5,1,6
12,549,10.43,1.1,Limberbush,Shrub,Bajada,210.1687683,0,0,0
13,547,7.3,2.6,PaloVerde,Shrub,Bajada,205.4973317,2,4,6
14,542,1.83,0.65,TriangleLeafBursage,Shrub,Bajada,180.4554579,1,0,1
15,540,9.48,2.13,OrganPipe,Cactus,Bajada,167.8587975,5,1,6
16,538,2.7,2.41,Limberbush,Shrub,Bajada,144.1637453,0,0,0
17,537,8,3.75,OrganPipe,Cactus,Bajada,153.9654348,0,0,0
18,536,6.88,2.75,OrganPipe,Cactus,Bajada,146.3757592,0,0,0
19,533,14.7,2.6,PencilCholla,Cactus,Bajada,139.8893187,0,0,0
20,532,9.8,2.2,Saguaro,Cactus,Bajada,127.5864995,0,0,0
21,504,17.1,1.31,Creosote,Shrub,Plain,263.016778,1,0,1
22,501,8.51,4.97,JumpingCholla,Cactus,Plain,169.4965041,0,0,0
23,503,6.1,0.83,Saguaro,Cactus,Plain,163.5254854,3,1,4
24,503,29.52,0.25,Creosote,Shrub,Plain,110.3347389,2,0,2
25,504,7.7,4.55,Saguaro,Cactus,Plain,154.4858098,3,2,5
28,575,2.3,2.45,Saguaro,Cactus,Plain,29.00912532,2,2,4
29,522,15.85,5.25,Saguaro,Cactus,Plain,9.269526607,3,0,3
