"Tree","BranchLength"
1,271
1,211
1,373
1,497
1,133
1,214
1,280
1,351
1,508
1,448
2,232
2,300
2,273
2,365
2,350
2,368
2,400
2,281
2,286
2,300
3,339
3,338
3,290
3,227
3,354
3,176
3,354
3,301
3,356
3,426
4,207
4,271
4,152
4,136
4,181
4,181
4,136
4,198
4,175
4,199
5,315
5,312
5,306
5,265
5,262
5,264
5,259
5,290
5,252
5,267
6,173
6,247
6,312
6,228
6,291
6,310
6,381
6,294
6,366
6,244
7,273
7,282
7,407
7,233
7,207
7,311
7,226
7,352
7,296
7,217
8,285
8,194
8,207
8,202
8,298
8,319
8,250
8,353
8,262
8,294
9,180
9,211
9,184
9,198
9,242
9,137
9,224
9,191
9,225
9,222
10,201
10,300
10,262
10,267
10,233
10,167
10,230
10,276
10,255
10,273
11,232
11,250
11,229
11,307
11,221
11,202
11,149
11,147
11,265
11,226
12,259
12,206
12,225
12,295
12,228
12,214
12,223
12,187
12,319
12,241
13,229
13,181
13,181
13,222
13,166
13,233
13,162
13,246
13,332
13,198
14,162
14,300
14,123
14,360
14,259
14,313
14,282
14,231
14,123
14,149
15,235
15,333
15,259
15,226
15,189
15,165
15,223
15,240
15,395
15,386
16,211
16,261
16,185
16,202
16,277
16,277
16,277
16,247
16,318
16,205
17,320
17,276
17,253
17,277
17,237
17,182
17,137
17,184
17,228
17,199
18,314
18,352
18,330
18,284
18,311
18,246
18,284
18,203
18,312
18,331
19,200
19,310
19,286
19,287
19,402
19,242
19,204
19,292
19,258
19,244
20,223
20,246
20,168
20,210
20,281
20,152
20,217
20,251
20,219
20,161
21,293
21,340
21,205
21,275
21,198
21,421
21,417
21,379
21,450
21,382
22,308
22,316
22,341
22,256
22,211
22,264
22,381
22,256
22,335
22,225
23,277
23,266
23,305
23,247
23,278
23,271
23,185
23,266
23,207
23,285
24,292
24,224
24,291
24,233
24,318
24,329
24,339
24,351
24,352
24,340
25,334
25,347
25,350
25,374
25,296
25,354
25,367
25,320
25,373
25,288
26,271
26,275
26,283
26,290
26,307
26,369
26,257
26,168
26,261
26,338
27,154
27,179
27,190
27,192
27,205
27,228
27,163
27,182
27,199
27,173
