Tree,Height,Circumference,Diameter,Number of Branches,circumference per diameter,branches per circumference,branches per diameter,Mean terminal segment,Median terminal segment,Longest terminal segment,Shortest terminal segment,Mean terminal section,Median terminal section,Longest terminal section,Shortest terminal section
1,5,4.7,1.75,20,2.685714286,4.255319149,11.42857143,36.79591837,35,71,4,180.3,176.5,245,127
2,3.15,4.3,1.6,19,2.6875,4.418604651,11.875,18.78,17.5,46,4,93.9,94,125,70
3,2.75,4.78,2.1,24,2.276190476,5.020920502,11.42857143,13.22,14,23,2,66.1,71,78,36
4,2.05,5.53,2.4,16,2.304166667,2.893309222,6.666666667,14.9,15,23,2,74.5,71,96,58
5,2.65,5.08,2.3,21,2.208695652,4.133858268,9.130434783,11.88,10.5,25,2,59.4,54.5,98,42
6,2.95,4,1.92,12,2.083333333,3,6.25,9.76,9.5,22,1,48.8,45,78,31
7,3.35,4.6,1.87,18,2.459893048,3.913043478,9.625668449,18.4,18,31,11,92,88,119,76
8,2.75,4.52,1.7,18,2.658823529,3.982300885,10.58823529,13.06,13,25,2,65.3,65.5,87,50
9,2.65,4.9,2,20,2.45,4.081632653,10,11.1,10.5,22,2,55.5,57.5,67,44
10,2.5,8.53,1.4,26,6.092857143,3.048065651,18.57142857,15.46,16,25,6,77.3,78,90,62
11,2.7,4.8,2.1,19,2.285714286,3.958333333,9.047619048,13.44,13,29,5,67.2,68,91,49
12,2.3,5.56,1.9,24,2.926315789,4.316546763,12.63157895,21.52,21,36,5,107.6,107.5,134,86
13,3.05,3.2,1.29,23,2.480620155,7.1875,17.82945736,10.26,10,22,5,51.3,51,59,44
14,3,2.7,3,11,0.9,4.074074074,3.666666667,21.82,21,36,8,109.1,111.5,123,92
15,2.6,7.2,3.41,55,2.11143695,7.638888889,16.12903226,15.14,13.5,30,3,75.7,72,109,44
16,2.05,6.9,2.6,34,2.653846154,4.927536232,13.07692308,13.64,13,23,3,68.2,72.5,84,52
17,2.47,5.41,2.15,25,2.51627907,4.621072089,11.62790698,18.3,18.5,36,2,91.5,92,104,77
18,3.5,5.5,2.33,25,2.360515021,4.545454545,10.72961373,14.12,14,25,3,70.6,72.5,90,47
19,3.25,7.1,2.67,31,2.65917603,4.366197183,11.61048689,15.76,15.5,35,1,78.8,80,107,44
20,2.2,3.15,1.4,23,2.25,7.301587302,16.42857143,14.66,15,20,5,73.3,77,83,48
21,3.97,4.7,2.15,14,2.186046512,2.978723404,6.511627907,13.24,12.5,26,2,66.2,66,84,48
22,3.47,2.8,1.42,21,1.971830986,7.5,14.78873239,16.92,16.5,31,4,84.6,85,104,54
23,2.87,5.35,1.7,15,3.147058824,2.803738318,8.823529412,10.06,10,21,2,50.3,48.5,75,28
24,4.21,6.29,2.6,27,2.419230769,4.292527822,10.38461538,11.84,10,31,2,59.2,56.5,98,34
25,3.8,6.3,2.6,32,2.423076923,5.079365079,12.30769231,17.84,16.5,32,4,89.2,94.5,113,61
26,3.9,5.75,2.4,17,2.395833333,2.956521739,7.083333333,14.68,14,32,2,73.4,69,99,53
27,1.9,6.34,2.15,25,2.948837209,3.943217666,11.62790698,12.46,12.5,30,1,62.3,56.5,90,44
28,4.95,4.46,1.9,34,2.347368421,7.623318386,17.89473684,13.26,14,28,2,66.3,66,98,41
29,4.53,4.5,1.49,36,3.020134228,8,24.16107383,16.92,16,33,1,84.6,85,106,63
