Tree,Height,Circumference,Number of Branches,Median terminal segment,Terminal segment IQR
1,5,4.7,20,35,19
2,3.15,4.3,19,17.5,8.75
3,2.75,4.78,24,14,9.25
4,2.05,5.53,16,15,5.75
5,2.65,5.08,21,10.5,8.75
6,2.95,4,12,9.5,7
7,3.35,4.6,18,18,6
8,2.75,4.52,18,13,4.75
9,2.65,4.9,20,10.5,6
10,2.5,8.53,26,16,5.75
11,2.7,4.8,19,13,5
12,2.3,5.56,24,21,6.5
13,3.05,3.2,23,10,2.75
14,3,2.7,11,21,8.75
15,2.6,7.2,55,13.5,9
16,2.05,6.9,34,13,6
17,2.47,5.41,25,18.5,7
18,3.5,5.5,25,14,9.5
19,3.25,7.1,31,15.5,8
20,2.2,3.15,23,15,5.75
21,3.97,4.7,14,12.5,7.25
22,3.47,2.8,21,16.5,7
23,2.87,5.35,15,10,5.75
24,4.21,6.29,27,10,9.5
25,3.8,6.3,32,16.5,10.75
26,4.95,4.46,34,14,6
27,4.53,4.5,36,16,7
