"Ocotillos","Equation","AIC","dAIC","Likelihood","Weight"
"all","logHeight ~ Site + Median_BranchLength","-23.213","0","1","0.686"
"all","logHeight ~ Site + Elevation + Median_BranchLength","-21.347","1.867","0.393","0.27"
"all","logHeight ~ Site + Elevation","-16.715","6.499","0.039","0.027"
"all","logHeight ~ Site","-15.839","7.375","0.025","0.017"
"bajada","logHeight ~ Median_BranchLength","-18.089","0","1","0.478"
"bajada","logHeight ~ Elevation + Median_BranchLength","-17.373","0.716","0.699","0.334"
"bajada","logHeight ~ Number_Nodes + Median_BranchLength","-16.222","1.867","0.393","0.188"
"all","Length_c ~ 1m_shrub2cactus * Number_Nodes + BranchLengthIQR + (1 | tree) + (1 | seg_num)","6007.811","0","1","0.931"
"all","Length_c ~ Number_Nodes + BranchLengthIQR + (1 | tree) + (1 | seg_num)","6013.885","7.945","0.019","0.018"
"all","Length_c ~ 1m_shrub2cactus + Number_Nodes + BranchLengthIQR + (1 | tree) + (1 | seg_num)","6015.756","6.074","0.048","0.045"
"all","Length_c ~ 1m_shrub2cactus + Number_Nodes + (1 | tree) + (1 | seg_num)","6017.658","9.847","0.007","0.007"
"bajada","Length ~ BranchLengthIQR + Number_Nodes + (1 | tree) + (1 | seg_num)","4052.139","0","1","0.947"
"bajada","Length ~ BranchLengthIQR + (1 | tree) + (1 | seg_num)","4059.033","6.894","0.032","0.03"
"bajada","Length ~ Number_Nodes + (1 | tree) + (1 | seg_num)","4059.656","7.518","0.023","0.022"
"bajada","Length ~ (1 | tree) + (1 | seg_num)","4065.648","13.51","0.001","0.001"
"all","logNumNodes ~ Median_BranchLength + Elevation","-5.777","0","1","0.817"
"all","logNumNodes ~ Elevation","-2.029","3.748","0.154","0.125"
"all","logNumNodes ~ Median_BranchLength","-0.378","5.399","0.067","0.055"
"all","logNumNodes ~ 1","6.105","11.882","0.003","0.002"
"bajada","logNumNodes ~ Median_BranchLength + Terminal_SegLengthIQR","-10.476","0","1","0.656"
"bajada","logNumNodes ~ Median_BranchLength","-9.111","1.365","0.505","0.331"
"bajada","logNumNodes ~ Terminal_SegLengthIQR","0.003","10.478","0.005","0.003"
"bajada","logNumNodes ~ 1","-1.973","8.502","0.014","0.009"
"all","logMedianBL ~ Height + TerminalSegIQR + Num_Nodes","-46.352","0","1","0.854"
"all","logMedianBL ~ TerminalSegIQR + Num_Nodes","-42.737","3.615","0.164","0.14"
"all","logMedianBL ~ Height + Num_Nodes","-33.848","12.504","0.002","0.002"
"all","logMedianBL ~ Height + TerminalSegIQR","-35.522","10.83","0.004","0.004"
"bajada","logMedianBL ~ TerminalSegIQR + Num_Nodes","-24.897","0","1","0.925"
"bajada","logMedianBL ~ Num_Nodes","-19.553","5.343","0.069","0.064"
"bajada","logMedianBL ~ TerminalSegIQR","-15.283","9.614","0.008","0.008"
"bajada","logMedianBL ~ 1","-13.861","11.036","0.004","0.004"
"all","logCirc ~ Num_Branch","5.042","0","1","0.928"
"all","logCirc ~ 1","10.788","5.746","0.057","0.052"
"all","logCirc ~ Site","12.711","7.669","0.022","0.02"
"bajada","logCirc ~ Num_Branch","3.76","0","1","0.943"
"bajada","logCirc ~ 1","10.28","6.52","0.038","0.036"
"all","logNumBranch ~ Circ + Inter_Distance + Arroyo","4.213","0","1","0.631"
"all","logNumBranch ~ Circ + Arroyo","5.918","1.704","0.426","0.269"
"all","logNumBranch ~ Circ + Inter_Dis","9.031","4.818","0.09","0.057"
"all","logNumBranch ~ Circ + Inter_Plant_Group","9.569","5.356","0.069","0.043"
"bajada","logNumBranch ~ Circ * Intra_Distance + Inter_Plant_Group","0.247","0","1","0.359"
"bajada","logNumBranch ~ Circ * Intra_Distance + Inter_Plant_Group + Elevation","1.579","1.332","0.514","0.184"
"bajada","logNumBranch ~ Circ * Intra_Distance","1.788","1.541","0.463","0.166"
"bajada","logNumBranch ~ Circ * Intra_Distance + Inter_Plant_Group + Arroyo","1.876","1.63","0.443","0.159"
"bajada","logNumBranch ~ Circ * Intra_Distance + Elevation","2.236","1.989","0.37","0.133"
