"Ocotillos","Equation","AIC","dAIC","Likelihood","Weight"
"all","logNN ~ Height_c * Circ_c + Elevation_c * Circ_c","49.295","0","1","0.783"
"all","logNN ~ Height_c * Circ_c + Elevation_c","52.11","2.815","0.245","0.192"
"all","logNN ~ Height_c * Circ_c + Arroyo_c","57.189","7.894","0.019","0.015"
"all","logNN ~ Height_c * Circ_c","58.344","9.049","0.011","0.008"
"all","logNN ~ Height_c + Circ_c","61.187","11.892","0.003","0.002"
"bajada","logNN ~ NBranch_c * COMP_dis_c + Elevation_c","26.329","0","1","0.593"
"bajada","logNN ~ NBranch_c * COMP_dis_c + Arroyo_c","27.305","0.976","0.614","0.364"
"bajada","logNN ~ NBranch_c * COMP_dis_c","32.079","5.75","0.056","0.033"
"bajada","logNN ~ NBranch_c + COMP_dis_c","34.514","8.185","0.017","0.01"
"all","logCOMP ~ Arroyo_c","67.667","0","1","0.583"
"all","logCOMP ~ Elevation_c","69.701","2.034","0.362","0.211"
"all","logCOMP ~ 1","69.745","2.078","0.354","0.206"
"bajada","logCOMP ~ Arroyo_c","43.737","0","1","0.525"
"bajada","logCOMP ~ Elevation_c","44.386","0.649","0.723","0.379"
"bajada","logCOMP ~ 1","47.132","3.395","0.183","0.096"
