"Equation","AIC","dAIC","Likelihood","Weight"
"logHeight ~ Site + Median_BranchLength","-23.213","0","1","0.686"
"logHeight ~ Site + Elevation + Median_BranchLength","-21.347","1.867","0.393","0.27"
"logHeight ~ Site + Elevation","-16.715","6.499","0.039","0.027"
"logHeight ~ Site","-15.839","7.375","0.025","0.017"
"logHeight ~ Median_BranchLength","-19","0","1","0.562"
"logHeight ~ Elevation + Median_BranchLength","-17.219","1.781","0.411","0.231"
"logHeight ~ Number_Nodes + Median_BranchLength","-17","2","0.368","0.207"
"logCirc ~ Num_Branch","5.042","0","1","0.928"
"logCirc ~ 1","10.788","5.746","0.057","0.052"
"logCirc ~ Site","12.711","7.669","0.022","0.02"
"logCirc ~ Num_Branch","3.565","0","1","0.95"
"logCirc ~ 1","10.491","6.926","0.031","0.03"
"logNumBranch ~ Circ + Inter_Distance + Arroyo","4.213","0","1","0.631"
"logNumBranch ~ Circ + Arroyo","5.918","1.704","0.426","0.269"
"logNumBranch ~ Circ + Inter_Dis","9.031","4.818","0.09","0.057"
"logNumBranch ~ Circ + Inter_Plant_Group","9.569","5.356","0.069","0.043"
"logNumBranch ~ Circ * Intra_Distance + Inter_Plant_Group","1.385","0","1","0.32"
"logNumBranch ~ Circ * Intra_Distance + Inter_Plant_Group + Elevation","2.259","0.874","0.646","0.207"
"logNumBranch ~ Circ * Intra_Distance","2.917","1.533","0.465","0.149"
"logNumBranch ~ Circ * Intra_Distance + Inter_Plant_Group + Arroyo","2.702","1.317","0.518","0.166"
"logNumBranch ~ Circ * Intra_Distance + Elevation","2.786","1.402","0.496","0.159"
"logNumNodes ~ Median_BranchLength + Elevation","-15.634","0","1","0.573"
"logNumNodes ~ Elevation","-3.089","12.545","0.002","0.001"
"logNumNodes ~ Median_BranchLength","-16.226","0.592","0.744","0.426"
"logNumNodes ~ 1","1.232","16.865","0","0"
"logNumNodes ~ Median_BranchLength + Terminal_SegLengthIQR","-10.869","0","1","0.786"
"logNumNodes ~ Median_BranchLength","-7.689","3.179","0.204","0.16"
"logNumNodes ~ Terminal_SegLengthIQR","-4.296","6.573","0.037","0.029"
"logNumNodes ~ 1","-3.932","6.937","0.031","0.024"
"logMedianBL ~ Height + TerminalSegIQR + Num_Nodes","-46.081","0","1","0.812"
"logMedianBL ~ TerminalSegIQR + Num_Nodes","-43.111","2.97","0.226","0.184"
"logMedianBL ~ Height + Num_Nodes","-34.83","11.251","0.004","0.003"
"logMedianBL ~ Height + TerminalSegIQR","-33.037","13.044","0.001","0.001"
"logMedianBL ~ TerminalSegIQR + Num_Nodes","-26.655","0","1","0.968"
"logMedianBL ~ TerminalSegIQR","-18.935","7.72","0.021","0.02"
"logMedianBL ~ Num_Nodes","-17.521","9.135","0.01","0.01"
"logMedianBL ~ 1","-13.203","13.452","0.001","0.001"
