"Ocotillos","Equation","AIC","dAIC","Likelihood","Weight"
"all","logHeight ~ Site + TSeq_c","-16.374","0","1","0.681"
"all","logHeight ~ Site + Elevation_c + TSeq_c","-14.79","1.584","0.453","0.308"
"all","logHeight ~ Site + Elevation_c","-6.641","9.733","0.008","0.005"
"all","logHeight ~ Site","-6.486","9.888","0.007","0.005"
"all","logHeight ~ TSeq_c","-0.915","15.46","0","0"
"bajada","logHeight ~ TSeq_c","-14.002","0","1","0.63"
"bajada","logHeight ~ Elevation_c + TSeq_c","-12.209","1.793","0.408","0.257"
"bajada","logHeight ~ Elevation_c * TSeq_c","-10.453","3.549","0.17","0.107"
"bajada","logHeight ~ Elevation_c","-3.335","10.667","0.005","0.003"
"bajada","logHeight ~ 1","-3.573","10.429","0.005","0.003"
"all","Length_c ~ Height_c + T1m_NumCacti + (1 | Tree) + (1 | seg_num)","6625.431","0","1","0.339"
"all","Length_c ~ Height_c + (1 | Tree) + (1 | seg_num)","6625.683","0.252","0.882","0.299"
"all","Length_c ~ Height_c + 1m_shrub2cactus + (1 | Tree) + (1 | seg_num)","6625.785","0.353","0.838","0.284"
"all","Length_c ~ (1 | Tree) + (1 | seg_num)","6628.346","2.915","0.233","0.079"
"bajada","Length_c ~ Height_c + T1m_NumCacti + (1 | Tree) + (1 | seg_num)","4657.5","0","1","0.542"
"bajada","Length_c ~ Height_c + 1m_shrub2cactus + (1 | Tree) + (1 | seg_num)","4659.103","1.849","0.397","0.215"
"bajada","Length_c ~ Height_c + (1 | Tree) + (1 | seg_num)","4659.349","1.603","0.449","0.243"
"bajada","Length_c ~ (1 | Tree) + (1 | seg_num)","4673.538","16.038","0","0"
"all","logCirc ~ NBranch_c","5.042","0","1","0.928"
"all","logCirc ~ 1","10.788","5.746","0.057","0.052"
"all","logCirc ~ Site","12.711","7.669","0.022","0.02"
"bajada","logCirc ~ NBranch_c","2.415","0","1","0.956"
"bajada","logCirc ~ 1","9.838","7.423","0.024","0.023"
"all","logNB ~ Circ_c + Inter_Arroyo_cis_c + Arroyo_c","4.213","0","1","0.631"
"all","logNB ~ Circ_c + Arroyo_c","5.918","1.704","0.426","0.269"
"all","logNB ~ Circ_c + Inter_Dis_c","9.031","4.818","0.09","0.057"
"all","logNB ~ Circ_c + Inter_plant_b","9.569","5.356","0.069","0.043"
"bajada","logNB ~ Circ_c * Intra_Dis_c + Inter_plant_b","0.247","0","1","0.359"
"bajada","logNB ~ Circ_c * Intra_Dis_c + Inter_plant_b + Elevation_c","1.579","1.332","0.514","0.184"
"bajada","logNB ~ Circ_c * Intra_Dis_c","1.788","1.541","0.463","0.166"
"bajada","logNB ~ Circ_c * Intra_Dis_c + Inter_plant_b + Arroyo_c","1.876","1.63","0.443","0.159"
"bajada","logNB ~ Circ_c * Intra_Dis_c + Elevation_c","2.236","1.989","0.37","0.133"
